,demand,hdd,t2m3,rh,t2m4,t2min,cdd,w10,q,mtpr,t2m,msdwswrf,t2max
2020-03-06,192774.25645905553,0.15037147592119304,294.064340935077,78.6012982418901,293.6773728186034,290.8939663617132,0.04988201959143476,3.522609161194616,12.31286302670427,4.052046516736927e-05,293.8478187611175,203.74642058014004,298.32057881980387
2020-03-09,187447.73583914156,0.38607091566326435,291.3146148847288,78.56135751885938,291.94802878651507,288.09211305310754,0.0014346461398839151,2.7825064225096683,9.978407574454012,3.864490946187962e-05,290.76288284865143,202.14012472181457,293.66505184555166
2020-03-10,188246.37225611188,0.47531562666972765,291.1271390742578,73.4479711880616,291.3053231730132,287.47637957102495,0.006514694800049377,1.6494325800501772,9.607268433009436,1.1011433363741909e-05,291.2770124157281,199.95119023056168,294.1883873159062
2020-03-11,189643.5968928654,0.477211352164218,291.29808063395404,72.29054396746461,291.3089134437601,288.32887387061567,0.023666690077641495,2.1231950270535638,9.76762954989942,1.8614928657530525e-05,291.8538134525049,220.75611402806487,295.0675833574833
2020-03-12,189864.28969307744,0.4571279047873104,291.4986565424544,70.31107084531949,291.31482206060207,286.48424528627174,0.0347383549491117,1.8059111590088033,9.20661913511502,9.26988284938231e-06,291.36462962783725,221.7024911354186,295.49891571197884
2020-03-13,182730.75559983612,0.3610963591583838,291.78674707565676,69.86633788078075,291.6594291025471,287.70852080509036,0.0004902100320104931,1.165361303314137,9.723209889159117,1.6229681742087682e-05,292.141303177699,249.91404787133428,296.73386352679984
2020-03-16,188295.72637956275,1.2748752110380972,289.3430380576639,77.88270341373055,290.04271006329554,287.3907085040299,2.628073300849192e-05,3.5676586538951773,9.417952704219344,3.6747764713756584e-05,290.12476419217944,162.70084391555912,292.96170112807016
2020-03-17,187766.07912984083,1.454148903478079,290.00422576405447,75.67993067423325,289.5562781737563,285.43268437220513,0.010123899643399091,1.03476498227826,9.166951049228944,7.702069935670318e-06,290.1955566891814,198.08656312199398,294.25197599585994
2020-03-18,185415.84469266862,0.8278561852410079,290.78799006512907,69.10659496556652,290.51406288103016,287.18086691617805,0.04649272666871166,1.8022961558570227,9.431063975794183,-4.3195065616080327e-07,292.043150403921,268.77050391867635,296.92619953939567
2020-03-19,195969.64800765057,0.5239208523977705,292.56775800418336,60.03435579529892,291.9571122768437,290.00901984447626,0.07670487465537025,1.8324425262832467,10.177077959436392,-5.017690664534424e-07,295.4640364662105,261.47643048136945,301.01454334801116
2020-03-20,199465.4990137679,0.3392014362573888,294.3696202779265,56.28169748381253,293.3262065352471,288.1071050024546,0.37513103632509764,1.9077078018531863,9.776173662330477,9.280416096020065e-07,295.6011428780622,263.03535353962286,302.85177765974987
2020-03-23,185930.1625713194,0.3697742791295064,292.2587977012824,75.68586233251696,293.0945035785736,288.3900155959045,0.002791987621978641,2.2960483773802767,9.555799489851209,2.8170160903185828e-05,290.68613401131717,152.134428980106,292.9634516525746
2020-03-24,187079.15373505006,0.3939355479010424,292.0032707530394,76.52067788990081,292.17045764937944,288.3978383590226,0.0028896477808764047,2.1340422521001563,10.45280979385726,2.5048542868915624e-05,291.90498227107895,159.18193506386885,294.2753015154057
2020-03-25,187190.2222858715,0.42973041317638505,291.366207312304,80.0365905202373,291.8793077673718,288.6552602734294,0.0,3.234689888945129,10.715720915078592,0.00017786850991983948,291.506985970907,163.48291348235873,295.8289791538137
2020-03-26,185206.89816178742,0.5314945681325806,291.346229790233,78.37520377701227,291.18130736535414,288.374752216331,0.0,2.9841231240051407,9.833580214453951,3.659775809780628e-05,290.6261811879287,133.10569235309015,293.3931078276173
2020-03-27,176170.31130005745,0.6021168685609177,290.78325834818156,73.58980740085867,291.0638024631002,287.31939485232823,6.34679708972249e-05,2.246286862811097,8.928720272281026,5.934528341376645e-06,290.2160870798694,187.47594961904812,293.80881946714777
2020-03-30,184971.50864555646,0.4197674253719751,292.33089645646356,82.99280761091086,291.80230394944056,288.1735195348606,0.00010349927933256826,2.037934058666943,11.729016904422624,2.6677850551571508e-05,292.28014368062355,142.1588530553306,297.08024669423736
2020-03-31,184422.62018480696,0.23383441972072078,292.80183750753145,79.60799272105712,292.53558272200155,289.8503497525181,0.001016875017101943,1.5624453554529396,11.912010986380794,1.8615173776963567e-05,293.1491922544481,189.98577167520065,296.54424766614517
2020-04-01,186714.98365785758,0.16679467373429469,292.90662861810245,82.4313501938105,292.923995627458,290.6393729490214,0.0016845926883806753,2.8803958808827574,12.379467482706328,4.534437500242173e-05,293.29004190955385,171.70962446501505,295.8760482901925
2020-04-02,186501.36899653688,0.24458518181046265,292.7864135283635,88.96191438418595,292.6599512681708,288.56889466702734,2.205676140911578e-06,2.43089301949289,12.341964041054668,7.914846722522395e-05,291.9194667240123,98.53133282895361,295.0016217830456
2020-04-03,184332.98613184976,0.2838969453473148,292.7627231825092,85.07964650432939,292.85945268886064,291.09477192522786,0.025037364649593465,3.579241234044393,12.821653259375722,0.00016869100575480562,293.0781366886521,122.86515208076841,295.8950421059876
2020-04-06,181314.11261593242,1.2002294013736254,289.65248064134124,72.23716066441862,290.5089955994104,286.7470530441535,0.0,2.523058813988142,8.538891788146717,1.2258327920093262e-05,289.61497986096197,174.20157848252242,293.2917809193078
2020-04-07,182880.46623127407,1.4875382128097299,289.40763166147434,77.56542901506509,289.5635875226194,286.82741817579284,0.0,2.044756178243257,8.97135316942273,1.8207996524334995e-05,289.29650414213216,132.3541984191754,291.72821892327727
2020-04-08,184793.38128479416,1.4673464513539949,289.497514143289,81.81186049512533,289.4509729885275,287.6533495980329,0.0,2.745547685354865,9.612089832898508,7.477261889827891e-05,289.58055309407075,95.29593290084708,291.1820471959462
